epoch,train_mse,test_mse,train_r2,test_r2,lr
361,0.01921231,0.02216916,0.98078763,0.97668046,0.00100000
362,0.01624279,0.01875900,0.98375726,0.98024052,0.00100000
363,0.01292176,0.01611448,0.98707825,0.98291045,0.00100000
364,0.01860505,0.02053352,0.98139501,0.97832578,0.00100000
365,0.01265345,0.01495152,0.98734653,0.98413372,0.00100000
366,0.01546239,0.01861544,0.98453760,0.98033780,0.00100000
367,0.01631282,0.01953449,0.98368722,0.97935241,0.00100000
368,0.01367809,0.01785382,0.98632193,0.98113263,0.00100000
369,0.01390878,0.01740430,0.98609126,0.98150867,0.00100000
370,0.01336066,0.01625021,0.98663938,0.98277843,0.00100000
371,0.01342281,0.01655379,0.98657715,0.98244965,0.00100000
372,0.01338373,0.01631491,0.98661625,0.98271346,0.00100000
373,0.01417684,0.01739212,0.98582315,0.98158550,0.00100000
374,0.01432501,0.01720273,0.98567498,0.98173213,0.00100000
375,0.01270871,0.01572576,0.98729128,0.98334074,0.00100000
376,0.01454058,0.01787097,0.98545945,0.98105538,0.00100000
377,0.01471089,0.01760973,0.98528910,0.98135757,0.00100000
378,0.01431706,0.01723897,0.98568296,0.98173672,0.00100000
379,0.01229400,0.01574297,0.98770601,0.98332644,0.00100000
380,0.01510909,0.01898781,0.98489094,0.97987211,0.00100000
381,0.01487717,0.01768301,0.98512286,0.98128450,0.00100000
382,0.01314618,0.01580074,0.98685384,0.98323119,0.00100000
383,0.01394339,0.01757221,0.98605663,0.98134077,0.00100000
384,0.01414536,0.01715951,0.98585463,0.98180336,0.00100000
385,0.01396097,0.01712055,0.98603904,0.98189068,0.00100000
386,0.01573813,0.01804889,0.98426187,0.98091525,0.00100000
387,0.01559068,0.01886604,0.98440933,0.97999239,0.00100000
388,0.01416120,0.01719204,0.98583883,0.98176622,0.00100000
389,0.01374560,0.01729424,0.98625439,0.98176026,0.00100000
390,0.01487647,0.01787744,0.98512352,0.98100597,0.00100000
391,0.01839249,0.02127844,0.98160750,0.97749990,0.00100000
392,0.01355934,0.01665498,0.98644066,0.98233104,0.00100000
393,0.01380343,0.01653063,0.98619658,0.98252863,0.00100000
394,0.01596355,0.01945262,0.98403645,0.97946286,0.00100000
395,0.01558633,0.01884824,0.98441362,0.98005712,0.00100000
396,0.01261310,0.01553093,0.98738688,0.98355812,0.00100000
397,0.01360636,0.01590428,0.98639369,0.98317653,0.00100000
398,0.01243067,0.01595933,0.98756933,0.98309517,0.00100000
399,0.01540613,0.01812025,0.98459387,0.98078406,0.00100000
400,0.01553623,0.01850427,0.98446375,0.98043299,0.00100000
401,0.01408181,0.01731768,0.98591816,0.98162377,0.00100000
402,0.01186195,0.01503862,0.98813808,0.98404312,0.00100000
403,0.01381944,0.01659399,0.98618054,0.98241502,0.00100000
404,0.01780867,0.01950574,0.98219132,0.97935092,0.00100000
405,0.01311953,0.01643828,0.98688048,0.98255217,0.00100000
406,0.01504066,0.01833258,0.98495936,0.98070979,0.00100000
407,0.01407701,0.01702093,0.98592299,0.98197740,0.00100000
408,0.01436774,0.01764235,0.98563224,0.98129475,0.00100000
409,0.01389055,0.01640139,0.98610950,0.98263550,0.00100000
410,0.01429457,0.01781827,0.98570544,0.98108089,0.00100000
411,0.01471835,0.01785531,0.98528165,0.98104489,0.00100000
412,0.01855150,0.02305501,0.98144853,0.97562099,0.00100000
413,0.01626671,0.01945514,0.98373330,0.97935694,0.00100000
414,0.01518129,0.01822394,0.98481870,0.98071861,0.00100000
415,0.01476063,0.01782080,0.98523939,0.98107922,0.00100000
416,0.01256632,0.01608462,0.98743367,0.98292172,0.00100000
417,0.01338718,0.01654396,0.98661280,0.98247117,0.00100000
418,0.01455039,0.01809552,0.98544961,0.98092401,0.00100000
419,0.01479793,0.01871100,0.98520207,0.98010403,0.00100000
420,0.01513501,0.01889214,0.98486501,0.97997051,0.00100000
421,0.01452286,0.01709262,0.98547715,0.98184103,0.00100000
422,0.01532793,0.01927791,0.98467207,0.97951853,0.00100000
423,0.01561508,0.01890963,0.98438489,0.98005593,0.00100000
424,0.01303453,0.01620225,0.98696548,0.98278612,0.00100000
425,0.01375620,0.01686896,0.98624378,0.98209023,0.00100000
426,0.01432412,0.01809825,0.98567593,0.98078901,0.00100000
427,0.01475690,0.01799101,0.98524308,0.98096049,0.00100000
428,0.01484501,0.01704123,0.98515499,0.98191810,0.00100000
429,0.01486557,0.01814218,0.98513442,0.98078191,0.00100000
430,0.01872849,0.02022894,0.98127151,0.97851253,0.00100000
